Legacy Bank,WI,11-Mar-11
First National Bank of Davis,OK,11-Mar-11
The Bank of Commerce,IL,25-Mar-11
Nevada Commerce Bank,NV,8-Apr-11
Western Springs National Bank and Trust,IL,8-Apr-11
Heritage Banking Group,MS,15-Apr-11
Rosemount National Bank,MN,15-Apr-11
Superior Bank,AL,15-Apr-11
Nexity Bank,AL,15-Apr-11
New Horizons Bank,GA,15-Apr-11
Bartow County Bank,GA,15-Apr-11
Community Central Bank,MI,29-Apr-11
The Park Avenue Bank,GA,29-Apr-11
First Choice Community Bank,GA,29-Apr-11
Cortez Community Bank,FL,29-Apr-11
First National Bank of Central Florida,FL,29-Apr-11
Coastal Bank,FL,6-May-11
Summit Bank,WA,20-May-11
First Georgia Banking Company,GA,20-May-11
Atlantic Southern Bank,GA,20-May-11
First Heritage Bank,WA,27-May-11
Atlantic Bank and Trust,SC,3-Jun-11
First Commercial Bank of Tampa Bay,FL,17-Jun-11
McIntosh State Bank,GA,17-Jun-11
Mountain Heritage Bank,GA,24-Jun-11
Signature Bank,CO,8-Jul-11
Colorado Capital Bank,CO,8-Jul-11
First Chicago Bank & Trust,IL,8-Jul-11
Summit Bank,AZ,15-Jul-11
First Peoples Bank,FL,15-Jul-11
High Trust Bank,GA,15-Jul-11
One Georgia Bank,GA,15-Jul-11
Bank of Choice,CO,22-Jul-11
LandMark Bank of Florida,FL,22-Jul-11
Southshore Community Bank,FL,22-Jul-11
Integra Bank National Association,IN,29-Jul-11
"BankMeridian, N.A.",SC,29-Jul-11
Virginia Business Bank,VA,29-Jul-11
Bank of Whitman,WA,5-Aug-11
Bank of Shorewood,IL,5-Aug-11
The First National Bank of Olathe,KS,12-Aug-11
Public Savings Bank,PA,18-Aug-11
First Choice Bank,IL,19-Aug-11
First Southern National Bank,GA,19-Aug-11
Lydian Private Bank,FL,19-Aug-11
CreekSide Bank,GA,2-Sep-11
Patriot Bank of Georgia,GA,2-Sep-11
The First National Bank of Florida,FL,9-Sep-11
Citizens Bank of Northern California,CA,23-Sep-11
Bank of the Commonwealth,VA,23-Sep-11
First International Bank,TX,30-Sep-11
Sun Security Bank,MO,7-Oct-11
The RiverBank,MN,7-Oct-11
Country Bank,IL,14-Oct-11
First State Bank,NJ,14-Oct-11
"Blue Ridge Savings Bank, Inc.",NC,14-Oct-11
Piedmont Community Bank,GA,14-Oct-11
Community Banks of Colorado,CO,21-Oct-11
Community Capital Bank,GA,21-Oct-11
Decatur First Bank,GA,21-Oct-11
Old Harbor Bank,FL,21-Oct-11
All American Bank,IL,28-Oct-11
SunFirst Bank,UT,4-Nov-11
"Mid City Bank, Inc.",NE,4-Nov-11
Community Bank of Rockmart,GA,10-Nov-11
Central Progressive Bank,LA,18-Nov-11
Polk County Bank,IA,18-Nov-11
Western National Bank,AZ,16-Dec-11
Premier Community Bank of the Emerald Coast,FL,16-Dec-11
American Eagle Savings Bank,PA,20-Jan-12
The First State Bank,GA,20-Jan-12
Central Florida State Bank,FL,20-Jan-12
BankEast,TN,27-Jan-12
Patriot Bank Minnesota,MN,27-Jan-12
Tennessee Commerce Bank,TN,27-Jan-12
First Guaranty Bank and Trust Company of Jacksonville,FL,27-Jan-12
SCB Bank,IN,10-Feb-12
Charter National Bank and Trust,IL,10-Feb-12
Home Savings of America,MN,24-Feb-12
Central Bank of Georgia,GA,24-Feb-12
Global Commerce Bank,GA,2-Mar-12
New City Bank,IL,9-Mar-12
Premier Bank,IL,23-Mar-12
Covenant Bank & Trust,GA,23-Mar-12
Fidelity Bank,MI,30-Mar-12
"Fort Lee Federal Savings Bank, FSB",NJ,20-Apr-12
Palm Desert National Bank,CA,27-Apr-12
Plantation Federal Bank,SC,27-Apr-12
"Inter Savings Bank, fsb D/B/A InterBank, fsb",MN,27-Apr-12
HarVest Bank of Maryland,MD,27-Apr-12
Bank of the Eastern Shore,MD,27-Apr-12
"Security Bank, National Association",FL,4-May-12
"Alabama Trust Bank, National Association",AL,18-May-12
Waccamaw Bank,NC,8-Jun-12
Farmers' and Traders' State Bank,IL,8-Jun-12
Carolina Federal Savings Bank,SC,8-Jun-12
First Capital Bank,OK,8-Jun-12
The Farmers Bank of Lynchburg,TN,15-Jun-12
Security Exchange Bank,GA,15-Jun-12
Putnam State Bank,FL,15-Jun-12
Montgomery Bank & Trust,GA,6-Jul-12
Glasgow Savings Bank,MO,13-Jul-12
Second Federal Savings and Loan Association of Chicago,IL,20-Jul-12
Heartland Bank,KS,20-Jul-12
First Cherokee State Bank,GA,20-Jul-12
Georgia Trust Bank,GA,20-Jul-12
The Royal Palm Bank of Florida,FL,20-Jul-12
Jasper Banking Company,GA,27-Jul-12
Waukegan Savings Bank,IL,3-Aug-12
First Commercial Bank,MN,7-Sep-12
Truman Bank,MO,14-Sep-12
First United Bank,IL,28-Sep-12
Excel Bank,MO,19-Oct-12
First East Side Savings Bank,FL,19-Oct-12
GulfSouth Private Bank,FL,19-Oct-12
NOVA Bank,PA,26-Oct-12
Citizens First National Bank,IL,2-Nov-12
Heritage Bank of Florida,FL,2-Nov-12
Hometown Community Bank,GA,16-Nov-12
Community Bank of the Ozarks,MO,14-Dec-12
Westside Community Bank,WA,11-Jan-13
1st Regents Bank,MN,18-Jan-13
Covenant Bank,IL,15-Feb-13
Frontier Bank,GA,8-Mar-13
Gold Canyon Bank,AZ,5-Apr-13
Chipola Community Bank,FL,19-Apr-13
Heritage Bank of North Florida,FL,19-Apr-13
First Federal Bank,KY,19-Apr-13
Douglas County Bank,GA,26-Apr-13
Parkway Bank,NC,26-Apr-13
Sunrise Bank,GA,10-May-13
Pisgah Community Bank,NC,10-May-13
Central Arizona Bank,AZ,14-May-13
Banks of Wisconsin d/b/a Bank of Kenosha,WI,31-May-13
1st Commerce Bank,NV,6-Jun-13
Mountain National Bank,TN,7-Jun-13
First Community Bank of Southwest Florida (also operating as Community Bank of Cape Coral),FL,2-Aug-13
Bank of Wausau,WI,9-Aug-13
Sunrise Bank of Arizona,AZ,23-Aug-13
Community South Bank,TN,23-Aug-13
First National Bank also operating as The National Bank of El Paso,TX,13-Sep-13
The Community's Bank,CT,13-Sep-13
Bank of Jackson County,FL,30-Oct-13
"Texas Community Bank, National Association",TX,13-Dec-13
DuPage National Bank,IL,17-Jan-14
The Bank of Union,OK,24-Jan-14
Syringa Bank,ID,31-Jan-14
Vantage Point Bank,PA,28-Feb-14
"Millennium Bank, National Association",VA,28-Feb-14
Allendale County Bank,SC,25-Apr-14
AztecAmerica Bank,IL,16-May-14
Columbia Savings Bank,OH,23-May-14
Slavie Federal Savings Bank,MD,30-May-14
Valley Bank,FL,20-Jun-14
Valley Bank,IL,20-Jun-14
The Freedom State Bank,OK,27-Jun-14
Eastside Commercial Bank,GA,18-Jul-14
"GreenChoice Bank, fsb",IL,25-Jul-14
NBRS Financial,MD,17-Oct-14
The National Republic Bank of Chicago,IL,24-Oct-14
"Frontier Bank, FSB D/B/A El Paseo Bank",CA,7-Nov-14
Northern Star Bank,MN,19-Dec-14
First National Bank of Crestview,FL,16-Jan-15
Highland Community Bank,IL,23-Jan-15
Capitol City Bank & Trust Company,GA,13-Feb-15
Doral Bank,PR,27-Feb-15
Edgebrook Bank,IL,8-May-15
Premier Bank,CO,10-Jul-15
Hometown National Bank,WA,2-Oct-15
The Bank of Georgia,GA,2-Oct-15
North Milwaukee State Bank,WI,11-Mar-16
Trust Company Bank,TN,29-Apr-16
First CornerStone Bank,PA,6-May-16
The Woodbury Banking Company,GA,19-Aug-16
Allied Bank,AR,23-Sep-16
Harvest Community Bank,NJ,13-Jan-17
